24 Horas,24 Horas FHD (ES)
Nat Geo Wild HD,ES-6 NATIONAL GEOGRAFIC WILD HD
Nat Geo Wild HD,ES-6 NATIONAL GEOGRAFIC WILD 
National Geographic HD,Nat Geographic FHD (ES)
National Geographic HD,Nat Geographic HD 2Mb (ES)
National Geographic HD,ES: NatGeo FHD
National Geographic HD,ES: NatGeo HD
National Geographic HD,ES: NatGeo SD
National Geographic HD,ES-6 NATIONAL GEOGRAFIC FHD
National Geographic HD,ES-6 NATIONAL GEOGRAFIC HD
National Geographic HD,ES-6 NATIONAL GEOGRAFIC 
Neox,Neox FHD (ES)
Neox,ES: Neox FHD
Neox,ES: Neox HD
Neox,ES: Neox SD
Neox,ES-6 NEOX FHD
Neox,ES-6 NEOX HD
Neox,ES-6 NEOX 
NFL Network,NFL Network HD (ES)
Nick JR,Nick Jr HD (ES)
Nick JR,ES: Nick Jr FHD
Nick JR,ES: Nick Jr HD
Nick JR,ES: Nick Jr SD
Nick JR,ES-6 NICK JR FHD
Nick JR,ES-6 NICK JR HD
Nick JR,ES-6 NICK JR 
Nickelodeon HD,Nickelodeon FHD (ES)
Nickelodeon HD,ES: Nickelodeon FHD
Nickelodeon HD,ES: Nickelodeon HD
Nickelodeon HD,ES: Nickelodeon SD
Nickelodeon HD,ES-6 NICKELODEON FHD
Nickelodeon HD,ES-6 NICKELODEON HD
Nickelodeon HD,ES-6 NICKELODEON 
Nova,Nova FHD (ES)
Odisea,Odisea FHD (ES)
Odisea,Odisea UHD (ES)
Odisea,ES: Odisea FHD
Odisea,ES: Odisea HD
Odisea,ES: Odisea SD
Odisea,ES-6 Canal ODISEA FHD
Odisea,ES-6 Canal ODISEA HD
Odisea,ES-6 Canal ODISEA 
Paramount Network,Paramount SD (ES)
Red Bull TV,Red bull TV HD (ES)
Somos,Somos FHD (ES)
Somos,ES: SOMOS FHD
Somos,ES: SOMOS HD
Somos,ES: SOMOS SD
Somos,ES-6 SOMOS FHD
Somos,ES-6 SOMOS HD
Somos,ES-6 SOMOS 
STAR Channel HD,Star+ FHD (ES)
STAR Channel HD,Star+ HD 2Mb (ES)
STAR Channel HD,ES: Star Channel FHD
STAR Channel HD,ES: Star Channel HD
STAR Channel HD,ES: Star Channel SD
STAR Channel HD,ES-6 STAR FHD
STAR Channel HD,ES-6 STAR HD
STAR Channel HD,ES-6 STAR 
Sundance TV,Sundance TV FHD (ES)
Sundance TV,ES: Sundance TV FHD
Sundance TV,ES: Sundance TV HD
Sundance TV,ES: Sundance TV SD
Sundance TV,ES-6 SUNDANCE FHD
Sundance TV,ES-6 SUNDANCE HD
Sundance TV,ES-6 SUNDANCE 
Surf Channel,Surf Channel HD (ES)
SX3,Super 3/33 (ES)
SX3 Catalunya
SyFy HD,Syfy FHD (ES)
SyFy HD,Syfy HD 2Mb (ES)
SyFy HD,ES: Syfy FHD
SyFy HD,ES: Syfy HD
SyFy HD,ES: Syfy SD
SyFy HD,ES-6 SYFY FHD
SyFy HD,ES-6 SYFY HD
SyFy HD,ES-6 SYFY 
TCM HD,TCM FHD (ES)
TCM HD,TCM HD 2Mb (ES)
TCM HD,ES: TCM FHD
TCM HD,ES: TCM HD
TCM HD,ES: TCM SD
TCM HD,ES-6 TCM FHD
TCM HD,ES-6 TCM HD
TCM HD,ES-6 TCM 
Telecinco HD,Telecinco FHD (ES)
Telecinco HD,Telecinco HD 2MB (ES)
Teledeporte,Teledeporte FHD (ES)
Teledeporte,SP: ES: Teledeporte FHD
Teledeporte,SP: ES: Teledeporte HD
Teledeporte,SP: ES: Teledeporte SD
Teledeporte,ES-6 TELEDEPORTE FHD
Teledeporte,ES-6 TELEDEPORTE HD
Teledeporte,ES-6 TELEDEPORTE
Ten,Ten FHD (ES)
TRECE,Trece FHD (ES)
TV3,Tv3 SD (ES)
TV3 Catalunya,TV3 FHD (ES)
TV3 Catalunya,ES: TV3 FHD
TV3 Catalunya,ES: TV3 HD
TV3 Catalunya,ES: TV3 SD
TV3 Catalunya,ES-6 TV3 FHD
TV3 Catalunya,ES-6 TV3 (HD)
TV3 Catalunya,ES-6 TV3 (SD)
TVG,Galicia TV HD (ES)
TVG2,Galicia TV 2 HD (ES)
UBEAT,U-BEAT FHD (ES)
UBEAT,ES: U-BEAT FHD
UBEAT,ES: U-BEAT HD
UBEAT,ES: U-BEAT SD
UBEAT,ES-6 U-BEAT (FHD)
UBEAT,ES-6 U-BEAT (HD)
UBEAT,ES-6 U-BEAT (SD)
Warner TV HD,WARNER TV FHD (ES)
Warner TV HD,WARNER TV HD 2Mb (ES)
Warner TV HD,ES: Warner TV FHD
Warner TV HD,ES: Warner TV HD
Warner TV HD,ES: Warner TV SD
Warner TV HD,ES-6 Warner TV FHD
Warner TV HD,ES-6 Warner TV HD
Warner TV HD,ES-6 Warner TV 
XTRM,Xtrm FHD (ES)
XTRM,ES: XTRM FHD
XTRM,ES: XTRM HD
XTRM,ES: XTRM SD
XTRM,ES-6 XTRM FHD
XTRM,ES-6 XTRM HD
XTRM,ES-6 XTRM 
24 Horas,24 Horas SD (ES)
324 Catalunya,3/24 SD (ES)
AMC Break,AMC Break SD (ES)
AMC Crime,AMC Crime SD (ES)
AMC HD,AMC SD (ES)
Antena 3 HD,Antena 3 SD (ES)
Atreseries,A3Series SD (ES)
AXN HD,AXN SD (ES)
AXN Movies HD,AXN Movies SD (ES)
Baby TV,Baby TV SD (ES)
Be Mad,Be Mad SD (ES)
Boing,Boing SD (ES)
BOM Cine,Bom Cine SD (ES)
BuenViaje,BUEN VIAJE SD (ES)
Calle 13 HD,Calle 13 SD (ES)
Canal Cocina,Cocina SD (ES)
Canal Hollywood HD,Hollywood SD (ES)
Canal Sur HD,Canal Sur SD (ES)
Clan,Clan Tve SD (ES)
Comedias (Rakuten TV),RakutenTV Comedias SD (ES)
Comedy Central HD,Comedy Central SD (ES)
Cuatro HD,Cuatro SD (ES) 
DARK,DARK SD (ES)
DAZN 1 HD,DAZN 1 SD (ES)
DAZN 2 HD,DAZN 2 SD (ES)
DAZN 3 HD,DAZN 3 SD (ES)
DAZN 4 HD,DAZN 4 SD (ES)
DAZN F1 HD,DAZN F1 SD (ES)
DAZN LaLiga 2 HD,DAZN LaLiga 2 SD (ES)
DAZN LaLiga 3,DAZN LaLiga 3 SD (ES)
DAZN LaLiga 4,DAZN LaLiga 4 SD (ES)
DAZN LaLiga 5,DAZN LaLiga 5 SD (ES)
DAZN LaLiga HD,DAZN LaLiga SD ( ES )
DBike,DBIKE SD (ES)
Decasa,Decasa SD (ES)
Discovery,Discovery Chanel SD (ES)
Disney Junior,Disney JR SD (ES)
Divinity,Divinity SD (ES)
DKISS,DKiss TV SD (ES)
DMAX,DMAX SD (ES)
Dramas (Rakuten TV),RakutenTV Drama SD (ES)
Dreamworks HD,M+ DreamWorks SD (ES)
En Familia (Rakuten TV),EnFamilia SD (ES)
Energy,Energy SD (ES)
Esport 3,Esport 3 SD (ES)
Eurosport 1 HD,Eurosport 1 SD (ES)
Eurosport 2,Eurosport 2 SD (ES)
Factoría de Ficción,FDF SD (ES)
Fight Sports,Fight Sports (MI TELE PLUS) (ES)
Fight Time,Fight Time HD (ES)
GOL,GolPlay SD (ES)
Historia,Historia SD (ES)
La 1 HD,La 1 SD (ES)
La 2,La 2 SD (ES)
La Sexta HD,La Sexta SD (ES)
LaLiga TV Hypermotion 2,Liga Hypermotion 2 SD (ES)
LaLiga TV Hypermotion 3,Liga Hypermotion 3 SD (ES)
LaLiga TV Hypermotion HD,Liga Hypermotion SD (ES)
M+ Acción HD,M+ Accion SD (ES)
M+ Cine Español,M+ Cine Ñ SD (ES)
M+ Clásicos HD,M+ Clasicos SD (ES)
M+ Comedia HD,M+ Comedia SD (ES)
M+ Deportes 2 HD,M+ Deportes 2 SD (ES)
M+ Deportes HD,M+ Deportes SD (ES)
M+ Documentales HD,M+ Documentales SD (ES)
M+ Drama HD,M+ Drama SD (ES)
M+ Ellas Vamos HD,#VAMOS ELLAS SD (ES)
M+ Estrenos HD,M+ Cine SD (ES)
M+ Golf HD,M+ Golf SD (ES)
M+ Hits HD,M+ Series SD (ES)
M+ Indie HD,M+ Indie SD (ES)
M+ LaLiga 2 HD,M+ LaLiga 2 SD (ES)
M+ LaLiga 3 HD,M+ LaLiga 3 SD (ES)
M+ LaLiga 4,M+ LaLiga 4 SD (ES)
M+ LaLiga HD,M+ LaLiga SD (ES) Multiaudio
M+ Liga de Campeones 2 HD,M+ Liga Campeones 2 SD (ES) Multiaudio
M+ Liga de Campeones 3 HD,M+ Liga Campeones 3 SD (ES)
M+ Liga de Campeones HD,M+ Liga Campeones SD (ES) Multiaudio
M+ Originales HD,M+ Originales SD (ES)
M+ PopUp,M+ POPUP SD (ES)
M+ PopUp 2,M+ POPUP 2 SD (ES)
M+ Vamos HD,#VAMOS SD (ES)
Mega,Mega SD (ES)
Mezzo Live HD,Mezzo Live SD (ES)
Movistar Plus+ 2 HD,Movistar Plus+ 2 SD (ES)
Movistar Plus+ HD,Movistar Plus+ SD (ES)
MTV España,Mtv Espana SD (ES)
Nat Geo Wild HD,Nat Geo Wild SD (ES)
National Geographic HD,Nat Geographic SD (ES)
Neox,Neox SD (ES)
NFL Network,NFL Network HD (ES)
Nick JR,Nick Jr SD (ES)
Nickelodeon HD,Nickelodeon SD (ES)
Nova,Nova SD (ES)
Odisea,Odisea SD (ES)
Paramount Network,Paramount SD (ES)
Red Bull TV,Red bull TV HD (ES)
Somos,Somos SD (ES)
STAR Channel HD,Star+ SD (ES)
Sundance TV,Sundance TV SD (ES)
SX3,Super 3/33 (ES)
SyFy HD,Syfy SD (ES)
TCM HD,TCM SD (ES)
Telecinco HD,Telecinco SD (ES)
Teledeporte,Teledeporte SD (ES)
Ten,Ten SD (ES)
TRECE,Trece SD (ES)
TV3,Tv3 SD (ES)
UBEAT,U-BEAT SD (ES)
Warner TV HD,WARNER TV SD (ES)
XTRM,Xtrm SD (ES)
